_ABREV._CURSO_CÓDIGO_DISCIPLINA_T_P_I_"CATEGORIA(no curso)"_"CATEGORIA(Geral)"_RECOMENDAÇÃO_"TURNO(D/N)"_"CAMPUS(SA/SB)"_TURMAS_"VAGAS(por turma)"_"VAGAS(total)"_CRÉDITOS_ creditos redução  aulas teóricas/ práticas_"Tipo de laboratório(seco, úmido ou informática)Informar se demanda um laboratório específico"_"Uso do laboratório(semanal ou quinzenal)"_"OBSERVAÇÃO(se houver)"
_BCC_Bacharelado em Ciência da Computação_BC1503_Arquitetura de Computadores_4_0_4_Obrigatória_Obrigatória_Circuitos Digitais_D_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_BC1503_Arquitetura de Computadores_4_0_4_Obrigatória_Obrigatória_Circuitos Digitais_N_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3305_Algoritmos e Estruturas de Dados II_2_2_4_Obrigatória_Obrigatória_Algoritmos e Estruturas de Dados I_D_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3305_Algoritmos e Estruturas de Dados II_2_2_4_Obrigatória_Obrigatória_Algoritmos e Estruturas de Dados I_N_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3311_Inteligência Artificial_3_1_4_Obrigatória_Obrigatória_Lógica Básica; Algoritmos e Estruturas de Dados I; Introdução à Probabilidade e à Estatística_D_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3311_Inteligência Artificial_3_1_4_Obrigatória_Obrigatória_Lógica Básica; Algoritmos e Estruturas de Dados I; Introdução à Probabilidade e à Estatística_N_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3310_Banco de Dados_4_2_4_Obrigatória_Obrigatória_Algoritmos e Estruturas de Dados I_D_SA_1_70_70_6_6_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3310_Banco de Dados_4_2_4_Obrigatória_Obrigatória_Algoritmos e Estruturas de Dados I_N_SA_1_70_70_6_6_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_BC1437_Matemática Discreta_4_0_4_Obrigatória_Obrigatória_Funções de Uma Variável_D_SA_1_70_70_4_4___
_BCC_Bacharelado em Ciência da Computação_BC1437_Matemática Discreta_4_0_4_Obrigatória_Obrigatória_Funções de Uma Variável_N_SA_1_70_70_4_4___
_BCC_Bacharelado em Ciência da Computação_BC1523_Segurança de Dados_3_1_4_Obrigatória_Obrigatória_Não há_D_SA_1_70_70_4_4___
_BCC_Bacharelado em Ciência da Computação_BC1523_Segurança de Dados_3_1_4_Obrigatória_Obrigatória_Não há_N_SA_1_70_70_4_4___
_BCC_Bacharelado em Ciência da Computação_BC1515_Computação Gráfica_3_1_4_Obrigatória_Obrigatória_Álgebra Linear; Geometria Analítica; Algoritmos e Estruturas de Dados I_D_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_BC1515_Computação Gráfica_3_1_4_Obrigatória_Obrigatória_Álgebra Linear; Geometria Analítica; Algoritmos e Estruturas de Dados I_N_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC7111_Estágio Supervisionado em Computação II_8_0_8_Obrigatória_Obrigatória_Estágio Supervisionado em Computação I_D_SA_1_70_70_3_3___
_BCC_Bacharelado em Ciência da Computação_MC7111_Estágio Supervisionado em Computação II_8_0_8_Obrigatória_Obrigatória_Estágio Supervisionado em Computação I_N_SA_1_70_70_3_3___
_BCC_Bacharelado em Ciência da Computação_MC7108_Projeto de Graduação em Computação II_8_0_8_Obrigatória_Obrigatória_Não há_D_SA_1_70_70_8_8___
_BCC_Bacharelado em Ciência da Computação_MC7108_Projeto de Graduação em Computação II_8_0_8_Obrigatória_Obrigatória_Não há_N_SA_1_70_70_8_8___
_BCC_Bacharelado em Ciência da Computação__Disciplina de Opção Limitada I (a ser definida) _2_2_4_Limitada_Opção Limitada__D_SA_1_70__4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação__Disciplina de Opção Limitada I (a ser definida)_2_2_4_Limitada_Opção Limitada__N_SA_1_70__4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação__Disciplina de Opção Limitada II (a ser definida)_2_2_4_Limitada_Opção Limitada__D_SA_1_70__4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação__Disciplina de Opção Limitada II (a ser definida) _2_2_4_Limitada_Opção Limitada__N_SA_1_70__4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação__Disciplina de Opção Limitada III (a ser definida)_2_2_4_Limitada_Opção Limitada__D_SA_1_70__4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação__Disciplina de Opção Limitada III (a ser definida)_2_2_4_Limitada_Opção Limitada__N_SA_1_70__4_4_Informática_Semanal_
_BCT_Bacharelado em Ciência e Tecnologia_BC0001_Base Experimental das Ciências Naturais_0_3_2_Obrigatória_Obrigatória_Não há_D_SA _19_30_570_57_57_Úmido_Semanal_
_BCT_Bacharelado em Ciência e Tecnologia_BC0001_Base Experimental das Ciências Naturais_0_3_2_Obrigatória_Obrigatória_Não há_N_SA _19_30_570_57_57_Úmido_Semanal_
_BCT_Bacharelado em Ciência e Tecnologia_BC0001_Base Experimental das Ciências Naturais_0_3_2_Obrigatória_Obrigatória_Não há_D_SB_8_30_240_24_24_Úmido_Semanal_
_BCT_Bacharelado em Ciência e Tecnologia_BC0001_Base Experimental das Ciências Naturais_0_3_2_Obrigatória_Obrigatória_Não há_N_SB_8_30_240_24_24_Úmido_Semanal_
