_ABREV._CURSO_CÓDIGO_DISCIPLINA_T_P_I_"CATEGORIA(no curso)"_"CATEGORIA(Geral)"_RECOMENDAÇÃO_"TURNO(D/N)"_"CAMPUS(SA/SB)"_TURMAS_"VAGAS(por turma)"_"VAGAS(total)"_CRÉDITOS_ creditos redução  aulas teóricas/ práticas_"Tipo de laboratório(seco, úmido ou informática)Informar se demanda um laboratório específico"_"Uso do laboratório(semanal ou quinzenal)"_"OBSERVAÇÃO(se houver)"
_BCC_Bacharelado em Ciência da Computação_MC3304_Sistemas Digitais_2_2_4_Obrigatória_Obrigatória_Não há_D_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_MC3304_Sistemas Digitais_2_2_4_Obrigatória_Obrigatória_Não há_N_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_BC1424_Algoritmos e Estruturas de Dados I_2_2_4_Obrigatória_Obrigatória_Programação Orientada a Objetos_D_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_BC1424_Algoritmos e Estruturas de Dados I_2_2_4_Obrigatória_Obrigatória_Programação Orientada a Objetos_N_SA_1_70_70_4_4_Informática_Semanal_
_BCC_Bacharelado em Ciência da Computação_BC1425_Álgebra Linear_6_0_5_Obrigatória_Obrigatória_Geometria Analítica_D_SA_1_70_70_6_6___
_BCC_Bacharelado em Ciência da Computação_BC1425_Álgebra Linear_6_0_5_Obrigatória_Obrigatória_Geometria Analítica_N_SA_1_70_70_6_6___
_BCC_Bacharelado em Ciência da Computação_BC1426_Lógica Básica_4_0_4_Obrigatória_Obrigatória_Bases Epistemológicas da Ciência Moderna; Funções de uma Variável_D_SA_1_70_70_4_4___
_BCC_Bacharelado em Ciência da Computação_BC1426_Lógica Básica_4_0_4_Obrigatória_Obrigatória_Bases Epistemológicas da Ciência Moderna; Funções de uma Variável_N_SA_1_70_70_4_4___
_BCC_Bacharelado em Ciência da Computação_BC1513_Redes de Computadores_3_1_4_Obrigatória_Obrigatória_Processamento da Informação_D_SA_1_70_70_4_4_Informática_Semanal_
