BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMC3305SA;MC3305;2;Algoritmos e Estruturas de Dados II;Algoritmos e Estruturas de Dados II A-Noturno (Santo André);2;2;4 ;2 ;2 ;Ampliar vagas para 53 – Reservar L407-2 (overbooking no Lab);#N/D;;AMPLIADO - NOVO LAB 407-2;53;SA;N;terca das 19:00 às 21:00, sala S - 301-3, semanal ;quinta das 21:00 às 23:00, sala 409-2, semanal ;;;;;;;;;
ENGENHARIA DE GESTÃO;NAEN3528SB;EN3528;1;Análise de Redes de Transporte e Distribuição;Análise de Redes de Transporte e Distribuição A-Noturno (São Bernardo do Campo);4;0;5 ;4 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;63;SB;N;quarta das 19:00 às 23:00, sala A2-S202-SB, semanal ;0;;;;;;;;;
ENGENHARIA DE INSTRUMENTAÇÃO, AUTOMAÇÃO E ROBÓTICA;NAEN2706SA;EN2706;1;Análise de sistemas Dinâmincos Lineares;Análise de sistemas Dinâmincos Lineares A-noturno (Santo André);3;0;4 ;3 ;0 ;;;;turma nova - Disponível somente na segunda etapa;70;SA;N;quinta  das 17:00 às 20:00;;;;;;;;;;
BACHARELADO EM MATEMÁTICA;DABC1421SA;BC1421;2;Análise Real I;Análise Real I A-diurno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;70;SA;D;segunda das 10:00 às 12:00, sala S - 302-2, semanal , quinta das 08:00 às 10:00, sala S - 302-2, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;NABC1421SA;BC1421;2;Análise Real I;Análise Real I A-Noturno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SA;N;segunda das 21:00 às 23:00, sala S - 304-2, semanal , quinta das 19:00 às 21:00, sala S - 304-2, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;DAMC1305SA;MC1305;2;Anéis e Corpos;Anéis e Corpos A-diurno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;52;SA;D;terca das 10:00 às 12:00, sala A - 110-0, semanal , quinta das 08:00 às 10:00, sala A - 110-0, semanal ;0;;;;;;;;;
BACHARELADO EM MATEMÁTICA;NAMC1305SA;MC1305;2;Anéis e Corpos;Anéis e Corpos A-Noturno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;52;SA;N;terca das 21:00 às 23:00, sala A - 110-0, semanal , quinta das 19:00 às 21:00, sala A - 110-0, semanal ;0;;;;;;;;;
LICENCIATURA EM FILOSOFIA;NANH5130SB;NH5130;1;Antropologia Filosófica;Antropologia Filosófica A-Noturno (São Bernardo do Campo);4;0;4 ;4 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;40;SB;N;quinta das 19:00 às 23:00, sala A1-S103-SB, semanal ;0;;;;;;;;;
ENGENHARIA AEROESPACIAL;DAEN3233SA;EN3233;1;Aplicações de Elementos Finitos para Engenharia;Aplicações de Elementos Finitos para Engenharia A-diurno (Santo André);3;1;4 ;3 ;1 ;Manter;¬0¬;0;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SA;D;quarta das 16:00 às 18:00, sala S - 307-1, quinzenal I, sexta das 14:00 às 16:00, sala S - 307-1, semanal ;quarta das 16:00 às 18:00, sala 504-1, quinzenal II;;;;;;;;;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DABC1503SA;BC1503;2;Arquitetura de Computadores;Arquitetura de Computadores A-diurno (Santo André);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;62;SA;D;segunda das 08:00 às 10:00, sala S - 301-3, semanal , quarta das 10:00 às 12:00, sala S - 301-3, semanal ;0;;;;;;;;;
